,DirichletModel_MultimodalClassifier_dc
0,3.6568928
1,3.6568928
2,3.6568928
3,3.6568928
4,3.6568928
5,3.6568928
6,3.6568928
7,3.6568928
8,3.6568928
9,3.6568928
10,3.6568928
11,3.6568928
12,3.6568928
13,3.6568928
14,3.6568928
15,3.6568928
16,3.6568928
17,3.6568928
18,3.6568928
19,3.6568928
20,3.6568928
21,3.6568928
22,3.6568928
23,3.6568928
24,3.6568928
25,3.6568928
26,3.6568928
27,3.6568928
28,3.6568928
29,3.6568928
30,3.6568928
31,3.6568928
32,3.6568928
33,3.6568928
34,3.6568928
35,3.6568928
36,3.6568928
37,3.6568928
38,3.6568928
39,3.6568928
40,3.6568928
41,3.6568928
42,3.6568928
43,3.6568928
44,3.6568928
45,3.6568928
46,3.6568928
47,3.6568928
48,3.6568928
49,3.6568928
50,3.6568928
51,3.6568928
52,3.6568928
53,3.6568928
54,3.6568928
55,3.6568928
56,3.6568928
57,3.6568928
58,3.6568928
59,3.6568928
60,3.6568928
61,3.6568928
62,3.6568928
63,3.6568928
64,3.690559
65,3.6568928
66,3.6568928
67,3.6568928
68,3.6568928
69,3.6568928
70,3.6568928
71,3.6568928
72,3.6568928
73,3.6568928
74,3.6568928
75,3.6568928
76,3.6568928
77,3.6568928
78,3.6568928
79,3.6568928
80,3.6568928
81,3.6568928
82,3.6568928
83,3.6568928
84,3.6568928
85,3.6568928
86,3.6568928
87,3.6568928
88,3.6568928
89,3.6568928
90,3.6568928
91,3.6568928
92,3.6568928
93,3.6568928
94,3.6568928
95,3.6568928
96,3.6568928
97,3.6568928
98,3.6568928
99,3.6568928
100,3.6568928
101,3.6568928
102,3.6568928
103,3.6568928
104,3.6568928
105,3.6309288
106,3.6568928
107,3.6568928
108,3.6568928
109,3.6568928
110,3.6568928
111,3.6568928
112,3.6568928
113,3.6568928
114,3.6568928
115,3.6568928
116,3.6568928
117,3.6568928
118,3.6568928
119,3.6568928
120,3.6568928
121,3.6568928
122,3.6568928
123,3.6568928
124,3.6568928
125,3.6568928
126,3.6568928
127,3.6568928
128,3.6568928
129,3.6568928
130,3.6568928
131,3.6568928
132,3.6568928
133,3.6568928
134,3.6568928
135,3.6568928
136,3.6568928
137,3.6568928
138,3.6568928
139,3.6568928
140,3.6568928
141,3.6568928
142,3.6568928
143,3.6568928
144,3.6568928
145,3.6568928
146,3.6568928
147,3.6568928
148,3.6568928
149,3.6568928
150,3.6568928
151,3.6568928
152,3.6568928
153,3.6568928
154,3.6568928
155,3.6568928
156,3.6568928
157,3.6568928
158,3.6568928
159,3.6568928
160,3.6568928
161,3.6568928
162,3.6568928
163,3.6568928
164,3.6568928
165,3.6568928
166,3.6568928
167,3.6568928
168,3.6568928
169,3.6568928
170,3.6568928
171,3.6568928
172,3.6568928
173,3.6568928
174,3.6568928
175,3.6568928
176,3.6568928
177,3.6568928
178,3.6568928
179,3.6568928
180,3.6568928
181,3.6568928
182,3.6568928
183,3.6568928
184,3.6568928
185,3.6568928
186,3.6568928
187,3.6568928
188,3.6568928
189,3.6568928
190,3.6568928
191,3.6568928
192,3.6568928
193,3.6568928
194,3.6568928
195,3.6568928
196,3.6568928
197,3.6568928
198,3.6568928
199,3.6568928
200,3.6568928
201,3.6568928
202,3.6568928
203,3.6568928
204,3.6568928
205,3.6568928
206,3.6568928
207,3.6568928
208,3.6568928
209,3.6568928
210,3.6568928
211,3.6568928
212,3.6568928
213,3.6568928
214,3.6568928
215,3.6568928
216,3.6568928
217,3.6568928
218,3.6568928
219,3.6568928
220,3.6568928
221,3.6568928
222,3.6568928
223,3.6568928
224,3.6568928
225,3.6568928
226,3.6568928
227,3.6568928
228,3.6568928
229,3.6568928
230,3.6568928
231,3.6568928
232,3.6568928
233,3.6568928
234,3.6568928
235,3.6568928
236,3.6568928
237,3.6568928
238,3.6568928
239,3.6568928
240,3.6568928
241,3.6568928
242,3.6568928
243,3.6568928
244,3.6568928
245,3.6568928
246,3.6568928
247,3.6568928
248,3.6568928
249,3.6568928
250,3.6568928
251,3.6568928
252,3.6568928
253,3.6568928
254,3.6568928
255,3.6568928
256,3.6568928
257,3.6568928
258,3.6568928
259,3.6568928
260,3.6568928
261,3.6568928
262,3.6568928
263,3.6568928
264,3.6568928
265,3.6568928
266,3.6568928
267,3.6568928
268,3.6568928
269,3.6568928
270,3.6568928
271,3.6568928
272,3.6568928
273,3.6568928
274,3.6568928
275,3.6568928
276,3.6568928
277,3.6568928
278,3.6568928
279,3.6568928
280,3.6568928
281,3.6568928
282,3.6568928
283,3.6568928
284,3.6568928
285,3.6568928
286,3.6568928
287,3.6568928
288,3.6568928
289,3.6568928
290,3.6568928
291,3.6568928
292,3.6568928
293,3.6568928
294,3.6568928
295,3.6568928
296,3.6568928
297,3.6568928
298,3.6568928
299,3.6568928
300,3.6568928
301,3.6568928
302,3.6568928
303,3.6568928
304,3.6568928
305,3.6568928
306,3.6568928
307,3.6568928
308,3.6568928
309,3.6568928
310,3.6568928
311,3.6568928
312,3.6568928
313,3.6568928
314,3.6568928
315,3.6568928
316,3.6568928
317,3.6568928
318,3.6568928
319,3.6568928
320,3.6568928
321,3.6568928
322,3.6568928
323,3.6568928
324,3.690559
325,3.6568928
326,3.6568928
327,3.6568928
328,3.6568928
329,3.6568928
330,3.6568928
331,3.6568928
332,3.6568928
333,3.6568928
334,3.6568928
335,3.6568928
336,3.6568928
337,3.6568928
338,3.6568928
339,3.6568928
340,3.6568928
341,3.6568928
342,3.6568928
343,3.6568928
344,3.6568928
345,3.6568928
346,3.6568928
347,3.6568928
348,3.6568928
349,3.6568928
350,3.6568928
351,3.6568928
352,3.6568928
353,3.6568928
354,3.6568928
355,3.6568928
356,3.6568928
357,3.6568928
358,3.6568928
359,3.6568928
360,3.6568928
361,3.690559
362,3.6568928
363,3.6568928
364,3.6568928
365,3.6568928
366,3.6568928
367,3.6568928
368,3.6568928
369,3.6568928
370,3.6568928
371,3.6568928
372,3.6568928
373,3.6568928
374,3.6568928
375,3.6568928
376,3.6568928
377,3.6568928
378,3.6568928
379,3.6568928
380,3.6568928
381,3.6568928
382,3.6568928
383,3.6568928
384,3.6568928
385,3.6568928
386,3.6568928
387,3.6568928
388,3.6568928
389,3.6568928
390,3.6568928
391,3.6568928
392,3.6568928
393,3.6568928
394,3.6568928
395,3.6568928
396,3.6568928
397,3.6568928
398,3.6568928
399,3.6568928
400,3.6568928
401,3.6568928
402,3.6568928
403,3.6568928
404,3.6568928
405,3.6568928
406,3.6568928
407,3.6568928
408,3.6568928
409,3.6568928
410,3.6568928
411,3.6568928
412,3.6568928
413,3.6568928
414,3.6568928
415,3.6568928
416,3.6568928
417,3.6568928
418,3.6568928
419,3.6568928
420,3.6568928
